small_x,small_y,small_center_x,small_center_y,small_distance,small_start_time,small_stop_time,small_time_interval,big_x,big_y,big_center_x,big_center_y,big_distance,big_start_time,big_stop_time,big_time_interval
434,290,436,292,2.8284271247461903,21:10:21:15:59:54:912,21:10:21:15:59:56:885,1973,762,367,765,360,7.615773105863909,21:10:21:15:59:56:889,21:10:21:15:59:58:66,1177
342,509,339,506,4.242640687119285,21:10:21:15:59:59:261,21:10:21:16:00:01:174,1913,712,297,706,286,12.529964086141668,21:10:21:16:00:01:174,21:10:21:16:00:03:926,2752
1184,122,1176,120,8.246211251235321,21:10:21:16:00:43:607,21:10:21:16:00:45:192,1585,864,343,855,341,9.219544457292887,21:10:21:16:00:45:195,21:10:21:16:00:46:591,1396
595,146,596,146,1.0,21:10:21:16:00:47:774,21:10:21:16:00:49:321,1547,894,273,879,270,15.297058540778355,21:10:21:16:00:49:322,21:10:21:16:00:50:598,1276
788,439,781,431,10.63014581273465,21:10:21:16:00:53:312,21:10:21:16:00:56:913,3601,830,264,825,273,10.295630140987,21:10:21:16:00:56:914,21:10:21:16:00:58:672,1758
559,523,550,514,12.727922061357855,21:10:21:16:02:42:916,21:10:21:16:02:44:409,1493,763,449,765,447,2.8284271247461903,21:10:21:16:02:44:413,21:10:21:16:02:45:617,1204
707,289,701,286,6.708203932499369,21:10:21:16:02:47:66,21:10:21:16:02:49:563,2497,792,476,792,481,5.0,21:10:21:16:02:49:564,21:10:21:16:02:50:732,1168
383,272,379,269,5.0,21:10:21:16:02:51:994,21:10:21:16:02:53:805,1811,838,370,828,369,10.04987562112089,21:10:21:16:02:53:806,21:10:21:16:02:56:216,2410
710,187,708,183,4.47213595499958,21:10:21:16:02:57:216,21:10:21:16:02:58:508,1292,829,278,820,270,12.041594578792296,21:10:21:16:02:58:509,21:10:21:16:02:59:727,1218
392,263,389,261,3.605551275463989,21:10:21:16:03:00:831,21:10:21:16:03:02:970,2139,758,284,765,270,15.652475842498529,21:10:21:16:03:02:971,21:10:21:16:03:04:118,1147
1083,463,1087,456,8.06225774829855,21:10:21:16:03:05:374,21:10:21:16:03:06:823,1449,720,275,715,270,7.0710678118654755,21:10:21:16:03:06:824,21:10:21:16:03:08:57,1233
1116,29,1122,24,7.810249675906654,21:10:21:16:03:09:236,21:10:21:16:03:10:771,1535,692,277,693,270,7.0710678118654755,21:10:21:16:03:10:771,21:10:21:16:03:11:887,1116
1009,382,1009,380,2.0,21:10:21:16:03:13:249,21:10:21:16:03:14:824,1575,764,335,761,323,12.36931687685298,21:10:21:16:03:14:825,21:10:21:16:03:15:957,1132
517,378,519,373,5.385164807134504,21:10:21:16:03:16:965,21:10:21:16:03:18:592,1627,796,294,784,298,12.649110640673518,21:10:21:16:03:18:593,21:10:21:16:03:19:672,1079
763,253,768,251,5.385164807134504,21:10:21:16:03:20:787,21:10:21:16:03:22:265,1478,795,315,791,307,8.94427190999916,21:10:21:16:03:22:265,21:10:21:16:03:23:339,1074
